Subjects,Condition,Trial,Leg,Time,StepLength,StepTime,LeadingLimbAngle,TrailingLimbAngle,PeakPropulsion,PeakBraking,PropulsionImpulse,BrakingImpulse,StepLength_Norm
GR0330,Accelerate,AcceleratingHS,Left,last30,0.629668279,0.630333333,29.57329568,-12.85906985,0.105346373,-0.137190437,0.014563985,-0.028019223,0.684422042
GR0331,Accelerate,AcceleratingHS,Left,last30,0.569670614,0.567666667,25.95897095,-16.99878963,0.093351358,-0.054880219,0.023066883,-0.009606464,0.640079342
GR0334,Accelerate,AcceleratingHS,Left,last30,0.579376485,0.57,29.96658603,-18.85561263,0.144154915,-0.118063413,0.01833919,-0.021639411,0.733387956
GR0335,Accelerate,AcceleratingHS,Left,last30,0.491745682,0.533,29.48455767,-19.45277828,0.208972707,-0.175880924,0.026646297,-0.036558918,0.571797305
GR0336,Accelerate,AcceleratingHS,Left,last30,0.537887884,0.553333333,25.3976763,-22.92838154,0.198020664,-0.156340816,0.026475431,-0.027684485,0.60778292
MLR049,Accelerate,AcceleratingHS,Left,last30,0.676136665,0.692,28.81635261,-23.57425343,0.192264185,-0.193372577,0.039014724,-0.039642017,0.764860481
MLR050,Accelerate,AcceleratingHS,Left,last30,0.482053546,0.557333333,27.35474088,-24.03186931,0.214468806,-0.116156841,0.034264311,-0.02600189,0.540418774
GR0326,Baseline075,Baseline075,Left,last30,0.430559332,0.63,28.03001911,-11.91413522,0.066813098,-0.095765507,0.01667766,-0.024864114,0.525072356
GR0327,Baseline075,Baseline075,Left,last30,0.406342518,0.603333333,24.30561194,-12.24978899,0.103195689,-0.092581288,0.020129588,-0.023424436,0.507928148
GR0328,Baseline075,Baseline075,Left,last30,0.455649122,0.691666667,27.32721931,-15.14668215,0.11625031,-0.098153746,0.030744896,-0.023781242,0.569561403
GR0329,Baseline075,Baseline075,Left,last30,0.489058805,0.785,29.58156944,-19.92225794,0.14954039,-0.126535158,0.043101453,-0.031056472,0.589227476
GR0330,Baseline075,Baseline075,Left,last30,0.429083977,0.683666667,24.96443398,-12.44932947,0.112151753,-0.108913117,0.026396062,-0.023444844,0.466395627
GR0331,Baseline075,Baseline075,Left,last30,0.435375523,0.634666667,26.34649106,-12.5416851,0.077057403,-0.056405964,0.018069142,-0.015461014,0.489185981
GR0334,Baseline075,Baseline075,Left,last30,0.451695405,0.665666667,29.07950543,-15.65886276,0.100788313,-0.085535698,0.022695662,-0.023267265,0.571766335
GR0335,Baseline075,Baseline075,Left,last30,0.411970774,0.616,25.56828772,-14.76424191,0.112625347,-0.121622415,0.023114779,-0.025356675,0.479035784
GR0336,Baseline075,Baseline075,Left,last30,0.419452802,0.605333333,23.6846808,-14.73599128,0.119529184,-0.114220913,0.024685925,-0.021076342,0.473957968
MLR049,Baseline075,Baseline075,Left,last30,0.479442852,0.684333333,28.33657962,-13.85074648,0.084288176,-0.088780845,0.023682481,-0.022060782,0.542356167
MLR050,Baseline075,Baseline075,Left,last30,0.433393093,0.662,24.7747165,-15.62239874,0.114946433,-0.080507604,0.029235515,-0.016681862,0.485866696
GR0326,Baseline1125,Baseline1125,Left,last30,0.572282565,0.578666667,31.63537731,-19.50626681,0.145987141,-0.157873232,0.027992863,-0.033783009,0.697905567
GR0327,Baseline1125,Baseline1125,Left,last30,0.522518736,0.518666667,25.55056723,-19.07971149,0.187254007,-0.130497844,0.023514304,-0.03161052,0.65314842
GR0328,Baseline1125,Baseline1125,Left,last30,0.552997692,0.556333333,27.74521847,-20.68087091,0.200619392,-0.165921076,0.030774457,-0.026107207,0.691247115
